,Genotype,Daylength,Temperature,Growth
132,cop1-4,8,22,2.323
133,cop1-4,8,22,2.044
134,cop1-4,8,22,2.344
135,cop1-4,8,22,2.438
136,cop1-4,8,22,2.422
137,cop1-4,8,22,2.831
138,cop1-4,8,22,3.012
139,cop1-4,8,22,2.534
140,cop1-4,8,22,2.058
141,cop1-4,8,22,1.936
142,cop1-4,8,22,2.113
143,cop1-4,8,22,1.255
144,cop1-4,8,22,2.249
145,cop1-4,8,22,1.894
146,cop1-4,8,22,2.013
147,cop1-4,8,22,2.194
148,cop1-4,8,22,1.633
149,cop1-4,8,22,2.225
150,cop1-4,8,22,1.715
151,cop1-4,8,22,1.497
152,cop1-4,8,22,2.115
153,cop1-4,8,22,2.669
154,cop1-4,8,22,1.746
155,cop1-4,8,22,2.245
156,cop1-4,8,22,2.171
157,cop1-4,8,22,2.540
158,cop1-4,8,22,2.511
159,PHYBox,8,22,1.535
160,PHYBox,8,22,1.483
161,PHYBox,8,22,1.200
162,PHYBox,8,22,1.331
163,PHYBox,8,22,1.532
164,PHYBox,8,22,1.507
165,PHYBox,8,22,1.865
166,PHYBox,8,22,1.928
167,PHYBox,8,22,1.894
168,PHYBox,8,22,1.078
169,PHYBox,8,22,1.561
170,PHYBox,8,22,1.816
171,phyB-9,8,22,6.890
172,phyB-9,8,22,7.926
173,phyB-9,8,22,6.958
174,phyB-9,8,22,8.419
175,phyB-9,8,22,8.325
176,phyB-9,8,22,8.618
177,phyB-9,8,22,6.867
178,phyB-9,8,22,7.220
179,phyB-9,8,22,7.362
180,phyB-9,8,22,5.645
181,phyB-9,8,22,7.195
182,phyB-9,8,22,8.573
183,phyB-9,8,22,8.355
184,phyB-9,8,22,8.170
185,phyB-9,8,22,5.635
186,phyB-9,8,22,6.977
187,phyB-9,8,22,5.558
188,phyB-9,8,22,4.976
189,phyB-9,8,22,5.658
190,phyB-9,8,22,5.503
191,phyB-9,8,22,7.163
192,phyB-9,8,22,7.407
193,phyB-9,8,22,7.120
194,ELF3ox,8,28,8.983
195,ELF3ox,8,28,9.149
196,ELF3ox,8,28,7.302
197,ELF3ox,8,28,7.196
198,ELF3ox,8,28,9.341
199,ELF3ox,8,28,8.843
200,ELF3ox,8,28,7.924
201,ELF3ox,8,28,8.183
202,ELF3ox,8,28,9.126
203,ELF3ox,8,28,8.840
204,ELF3ox,8,28,7.008
205,ELF3ox,8,28,9.873
206,ELF3ox,8,28,8.248
207,ELF3ox,8,28,9.058
208,ELF3ox,8,28,9.689
209,ELF3ox,8,28,9.470
210,ELF3ox,8,28,10.536
211,ELF3ox,8,28,9.092
212,ELF3ox,8,28,10.319
213,ELF3ox,8,28,7.983
214,ELF3ox,8,28,9.825
215,ELF3ox,8,28,10.370
216,ELF3ox,8,28,9.464
217,ELF3ox,8,28,11.120
218,ELF3ox,8,28,9.541
219,ELF3ox,8,28,10.034
220,ELF3ox,8,28,9.881
221,ELF3ox,8,28,9.367
222,ELF3ox,8,28,7.386
223,ELF3ox,8,28,8.321
224,ELF3ox,8,28,9.385
225,ELF3ox,8,28,8.257
226,ELF3ox,8,28,8.994
227,ELF3ox,8,28,9.499
228,ELF3ox,8,28,9.225
229,elf3-8,8,28,11.117
230,elf3-8,8,28,11.112
231,elf3-8,8,28,11.132
232,elf3-8,8,28,9.379
233,elf3-8,8,28,11.579
234,elf3-8,8,28,10.076
235,elf3-8,8,28,10.472
236,elf3-8,8,28,10.562
237,elf3-8,8,28,11.412
238,elf3-8,8,28,9.826
239,elf3-8,8,28,11.018
240,elf3-8,8,28,10.384
241,elf3-8,8,28,8.666
242,elf3-8,8,28,8.844
243,elf3-8,8,28,10.076
244,elf3-8,8,28,9.176
245,elf3-8,8,28,9.727
246,elf3-8,8,28,9.810
